cod_ine,nombre,direccion,telf_alcaldia,telf_concejo,fax,email,web,latitud,longitud
30803,Tolata,"Plaza Principal, acera oeste s/n",4-4575510 4575509,,4-4575682,,,-17.53390908,-65.962602867
30901,Quillacollo,"Plaza 6 de Agosto, acera este S/N",4-4260095 4260097,,4-4260096,,,-17.395482717,-66.279788287
30902,Sipe Sipe,"Plaza 30 de Abril, acera sur Nº 78",4-4381932,,4-4381932,,,-17.45419465,-66.354225584
30903,Tiquipaya,"Plaza 23 de Septiembre, acera norte s/n",4-4317185 4315363,,4-4315363 4317010,,,-17.33812628,-66.219582259
30904,Vinto,"Av. Albina Patiño Km. 17 1/2, acera sud s/n",4-4260150,,4-4263706,,,-17.382402467,-66.316449672
30905,Colcapirhua,"Plaza 15 de Abril s/n, Av. Blanco Galindo, Km. 9",4-4269985 4371098 4269983,,4-4269984,,,-17.38956588,-66.241266669
31001,Sacaba,"Plaza 6 de Agosto, acera este s/n",4-4702301 4708076,,4-470826,,,-17.402120382,-66.039123997
31002,Colomi,,4340640,,4340640,,,-17.33783026,-65.867575858
31003,Villa Tunari,"Plaza El Colonizador, acera sud s/n",4-4136521,,4-4136525,,,-16.973047659,-65.419600769
31101,Tapacarí,Plaza Tapacarí s/n,4376711 44135679,,4-4376711 44135679,,,-17.521161394,-66.616445411
31201,Totora,"Plaza Ladislao Cabrera, acera oeste",4-4341002,,44136525,,,-17.736503821,-65.191164957
31202,Pojo,"Plaza 27 de Mayo, acera noroeste s/n",4-4139551 4504631,,4-4139551,,,-17.757581795,-64.865646758
31203,Pocona,Plaza el Quigueñal s/n,4-4136319,,4-4136319,,,-17.675209531,-65.419950295
31204,Chimoré,Plaza 14 de Septiembre s/n,4-4136218 4136244,,4-4136218,,,-16.994429017,-65.150916159
31205,Puerto Villarroel,Plaza 2 de Agosto s/n (Ivirgarzama),4-4136281,,4-4136281,,,-16.83879181,-64.793330341
31206,Entre Ríos (Bulo Bulo),"Plaza 24 de Septiembre, acera oeste, s/n",44136175,,4136482,,,-17.260000431,-64.348377861
31301,Mizque,"Plaza Héroes de la Independencia, acera oeste s/n",4-4342041 4342042,,4-4342041 4342040,,,-17.943033096,-65.342837445
31302,Vila Vila,Plaza Principal s/n,,,,,,-17.981653636,-65.631775076
31303,Alalay,Plaza 21 de Febrero s/n,4-450562,,4-4224646,,,-17.701445174,-65.699215536
31401,Punata,"Plaza 18 de Mayo, acera norte s/n",4-4572685 4572088,,4-4577934,,,-17.546135629,-65.838481968
31402,Villa Rivero,Plaza Gualberto Villarroel s/n,4-4570608,,4-4570609,,,-17.616305025,-65.812841277
31403,San Benito,Plaza Benito Moxos s/n,4-4579146 4579260,,4-4579147,,,-17.522698686,-65.894407819
31404,Tacachi,Sede Sindical de Huanacota,4-4256852 4570721,,4-4256852,,,-17.641932223,-65.801244669
31405,Cuchumuela (Villa Gualberto Villarroel),Plazuela 11 de Diciembre s/n,4-4570544 4570573,,4-4570544,,,-17.665837189,-65.795717219
31501,Bolívar,Plaza 6 de Agosto s/n,4-4448384,,4-4411734,,,-17.97007432,-66.537037997
31601,Tiraque,Plaza Principal 10 de Octubre,4-4570026,,4-4570027,,,-17.427383542,-65.723629714
31602,Shinahota,"Plaza Chimore, acera este",4-4136409,,,,,,
40101,Oruro,"Plaza 10 de Febrero, acera Sur s/n",2-5250025 5250022,,2-5252666,,,-17.967758518,-67.11207277
40102,Caracollo,Plaza 14 de septiembre,2-5290001 5290002,,2-5290001,,,-17.643245196,-67.21271
40103,El Choro,Plaza Simón Bolivar s/n,,,,,,-18.357338601,-67.115623154
40104,Soracachi (Paria),Plaza 19 de Marzo,,,,,,-17.817316986,-67.021719651
40201,Challapata,Calle Bolivar y Ejército Nº 613,2-5572080 5572250,,,,,-18.900820326,-66.774692844
40202,Santuario de Quillacas,Plaza 14 de septiembre,,,,,,-19.233169864,-66.942413405
40301,Corque,Plaza 24 de Junio,2-5136150,,,,,-18.351017001,-67.681877198
40302,Choquecota,Plaza 8 de Diciembre s/n,2-5136096,,,,,-18.09837456,-67.895525717
40401,Curahuara de Carangas,"Plaza 6 de Agosto s/n, German Busch",,,,,,-17.842346726,-68.410051913
40402,Turco,"Plaza 29 de Junio, Av. Martín Quispe s/n",,,,,,-18.180721256,-68.193562411
40501,Huachacalla,Plaza 25 de Julio s/n,,,,,,-18.793456524,-68.262261158
40502,Escara,Plaza 16 de Septiembre s/n,,,,,,-18.859576353,-68.170462579
40503,Cruz de Machacamarca,Plaza 29 de Junio s/n,,,,,,-18.77148168,-68.311774138
40504,Yunguyo del Litoral,Plaza 25 de Julio s/n,,,,,,-18.853423028,-68.320750836
40505,Esmeralda,Plaza 14 de Junio s/n,,,,,,-18.843587325,-68.281273996
40601,Villa Poopó,Plaza 6 de Agosto,,,,,,-18.380395304,-66.968523953
40602,Pazña,Plaza 6 de Enero s/n,,,,,,-18.599318793,-66.921484755
40603,Antequera,"Plaza Antequera, Calle Comercio s/n",,,,,,-18.471122587,-66.825837455
40701,Villa Huanuni,Plaza del Estudiante,2-5520585 25520041,,,,,-18.287804771,-66.839949825
40702,Machacamarca,Bolívar y Ladislao Cabrera,2-5136100,,,,,-18.172473989,-67.02113688
40801,Salinas de Garci Mendoza,Plaza 6 de Agosto s/n,,,,,,-19.638428267,-67.676341162
40802,Pampa Aullagas,Plaza 29 de Septiembre s/n,,,,,,-19.197091762,-67.062074508
40901,Sabaya,Plaza 6 de Agosto s/n,,,,,,-19.015705862,-68.37267311
40902,Coipasa,Plaza 1ro. de Mayo s/n,2-5265155,,,,,-19.277662279,-68.277711808
40903,Chipaya,Plaza 6 de Agosto s/n,,,,,,-19.041870389,-68.088908645
41001,Toledo,Plaza Principal Sucre y San Francisco,,,,,,-18.18180215,-67.406997148
41101,Eucaliptus,,,,,,,-17.596838398,-67.508493965
41201,Andamarca,"Plaza 25 de Julio s/n calle Estudiante, Bolivia",,,,,,,
41202,Belén de Andamarca,Plaza 16 de Diciembre s/n,2-5137080,,,,,,
41301,Totora,Plaza 10 de Noviembre,,,,,,-17.793673205,-68.146077053
41401,Santiago de Huari,Plaza 10 de Febrero,2-5136048,,,,,-19.012181094,-66.777012163
41501,La Rivera,Plaza 24 de Junio s/n,,,,,,-19.004913049,-68.639980159
41502,Todos Santos,Plaza 8 de Septiembre,,,,,,-19.014883602,-68.720562194
41503,Carangas,Plaza 15 de Agosto Nº 22,,,,,,-18.939204526,-68.624299465
41601,Santiago de Huayllamarca,Calle 25 s/n,,,,,,-17.840994146,-67.94584111
50101,Potosí,Plaza 10 de Noviembre,,,2-6223142,,,-19.580585521,-65.754228533
50102,Tinguipaya,Plaza Principal,2-6136235 6136812,,,,,-19.22197519,-65.820652095
50103,Villa de Yocalla,Plaza 6 de Agosto s/n,2-6136459,,2-6136459,,,-19.39134156,-65.905500417
50104,Belén de Urmiri,Localidad de Belen,2-6134778,,,,,-19.385653644,-66.064283074
50201,Uncía,Plaza 6 de Agosto s/n,2-5820616,,02 5820616 5822362,,,-18.466473105,-66.568392265
50202,Chayanta,Plaza 10 de Noviembre s/n,,,,,,-18.461201496,-66.442173656
50203,Llallagua,Av. 10 de Noviembre s/n,2-5820158 5822587,,,,,-18.423079421,-66.583476499
50204,Chuquihuta Ayllu Jucumani,Localidad de Chuquiuta,,,,,,,
50301,Betanzos,Plaza Cornelio Saavedra s/n,2-6279032 6134108,,2-6279064 6279032,,,-19.552889678,-65.452863169
50302,Chaquí,Plaza Lavadenz s/n,2-6136465,,2-6136465,,,-19.588312022,-65.561109802
50303,Tacobamba,Plaza Jaime Buezo s/n,,,,,,-19.207011674,-65.556472377
50401,Colquechaca,Calle Sucre Nº 20,,,,,,-18.697066878,-66.002171473
50402,Ravelo,Calle 10 de Noviembre Nº 10,,,,,,-18.806560176,-65.511604096
50403,Pocoata,Plaza 10 de Noviembre s/n,2-61377334,,2-6132016,,,-18.699707237,-66.161700009
50404,Ocurí,Plaza Loa s/n,,,,,,-18.841711138,-65.795708746
50501,San Pedro de Buena Vista,"Plaza 6 de Agosto s/n, Zona Central",,,2-6137714 6137713,,,-18.270111595,-65.98013832
50502,Toro Toro,Calle Charcas s/n,,,4-4135736,,,-18.13356265,-65.76132637
50601,Cotagaita,Av. Chichas s/n,2-6949155,,2-6949155,,,-20.815550983,-65.658489203
50602,Vitichi,Calle Bolívar s/n,2-6136238,,,,,-20.207604881,-65.4928956
50701,Sacaca,Plaza Principal 25 de Agosto,,,,,,-18.068274301,-66.383602363
50702,Caripuyo,Plaza Simón Bolivar s/n,,,,,,-18.23222475,-66.472904465
50801,Tupiza,Plaza Independencia Nº 387,2-6942305 6137309 6942304,,,,,-21.441336748,-65.720021927
50802,Atocha,Av. Busch Nº 120,2-6949108,,2-6949108,,,-20.932225156,-66.219396861
50901,"Colcha ""K""",Correo Central Uyuni,2-6132597,,2-6933598,,,-20.740225437,-67.660146403
50902,San Pedro de Quemes,Plaza 29 de Junio s/n,,,,,,-20.746502579,-68.048770686
51001,San Pablo de Lipez,Plaza 10 de Noviembre s/n,,,2-6137289,,,-21.686036539,-66.615951002
51002,Mojinete,Plaza 10 de Octubre s/n,26943440,,,,,-21.76525211,-66.24113895
51003,San Antonio de Esmoruco,Plaza 20 de Septiembre s/n,,,2-6137288,,,-21.948068338,-66.516829202
51101,Puna,Plaza 10 de Julio s/n,2-6136212,,2-6136212,,,-19.795408873,-65.506435754
51102,"Caiza ""D""",Plaza 10 de Noviembre s/n,,,,,,-20.007279265,-65.654428321
51103,Ckochas,Plaza 15 de agosto s/n,,,,,,,
51201,Uyuni,"Av. Arce, esq. Av. Potosí Nº 1",2-6932060 67947660,,,,,-20.460392478,-66.823412927
51202,Tomave,Plaza Narciso Campero Nº 1,2-6137092,,,,,-20.065033932,-66.53147247
51203,Porco,Plaza de La Libertad s/n,2-6137119,,,,,-19.798197412,-65.988762115
51301,Arampampa,Plaza 10 de Noviembre s/n,,,,,,-17.874902647,-66.079600879
51302,Acasio,Plaza Alonzo de Ibañez s/n,,,,,,-18.024063403,-66.057413663
51401,Llica,Calle Comercio s/n,,,,,,-19.851908839,-68.248137729
51402,Tahua,Calle Sucre S/N,,,2-6320179,,,-19.889769325,-67.692963785
51501,Villazón,Plaza 6 de Agosto esq. Tarija s/n,2- 5972119 5972120 5965573 5972120,,2-5972120 5965573,,,-22.090180531,-65.596530559
51601,San Agustín,Plaza 28 de Agosto s/n,,,,,,-21.154864785,-67.678318271
60101,Tarija,"Plaza Luís de Fuentes, Calle 15 de Abril Nº 389",466-43217 466-43207,,4-6643207 6663924,,,-21.531615912,-64.732905189
60201,Padcaya,Plaza Aniceto Arce s/n,4-6545008,,4-6545009,,,-21.882231203,-64.70914246
60202,Bermejo,Av. Barrientos Ortuño esq. Tarija s/n,4-6961095 6961403,,4-6963774 6961403,,,-22.733068751,-64.342461457
60301,Yacuiba,Calle San Pedro esq. Santa Cruz,46822021 46822020,,4-6822020,,,-22.012815413,-63.677477185
60302,Caraparí,Calle Gral. Pando esq. Comercio,4-6136032,,4-6136032,,,-21.82782357,-63.742386126
60303,Villamontes,Av. Gualberto Villarroel esq. Calle La Paz,46722352 46722347,,46722347,,,-21.260200965,-63.474853264
60401,Uriondo (Concepción),Plaza Uriondo s/n,4-6651052 6118010,,4-6651052 6118010,,,-21.697224205,-64.663200434
60402,Yunchará,Plaza 27 de Mayo s/n,466-47464,,,,,-21.821599217,-65.229560518
60501,San Lorenzo,Plaza Eustaquio Méndez s/n,4-6641019 6641018,,4-6665920,,,-21.415304859,-64.748856722
60502,El Puente,Av. 29 de Septiembre s/n,4-6133690 6133689,,4-6133689,,,-21.231387921,-65.206054931
60601,Entre Ríos,Calle Avaroa esq. Sucre s/n,4-6544063,,4-6544063,,,-21.526584848,-64.171421356
70101,Santa Cruz de la Sierra,Calle 24 de Septiembre esq. Bolívar,354-7981 359-7616,,371-5207,,,-17.784283228,-63.178916786
70102,Cotoca,Plaza principal de Cotoca,388-2547,,388-2547,,,-17.754163607,-62.996336719
70103,Porongo (Ayacucho),Plaza Principal de Porongo s/n,3-3841001 3841006,,3-3841001 3841006,,,-17.852028472,-63.308601267
70104,La Guardia,Plaza Principal de la Guardia,3-3840019 3840020,,3-3840334,,,-17.893316435,-63.329445356
70105,El Torno,Carretera antigua a Cbba km 33 frente plaza 25 de Julio,3-3822061 3822132,,3-3822061 3822164,,,-17.992166664,-63.381733855
70201,Warnes,Plaza Ignacio Warnes,3-9232081 9232455,,3-9232081,,,-17.509079731,-63.164389115
70202,Okinawa,Plaza Principal de  Okinawa,3-9237153,,3-9237229 9237153,,,-17.218295025,-62.891874005
70301,San Ignacio,"Plaza 31 de Julio, acera sur s/n",3-9622056 9622341,,3-9622056,,,-16.375375247,-60.961938933
70302,San Miguel,Plaza 29 de Septiembre,3-9624222 9624226,,3-9624222,,,-16.697679473,-60.967068771
70303,San Rafael,Plaza 24 de Octubre,3-9624022,,3-9624022,,,-16.786975276,-60.674529933
70401,Buena Vista,Calle Celso Sandóval esq. Juan Moreno s/n,3-9322032 9322106,,3-9322032,,,-17.459306311,-63.659922901
70402,San Carlos,Plaza Principal de San Carlos,3-9352019,,3230445,,,-17.405582992,-63.731562627
70403,Yapacaní,Plaza Integración s/n,3-9336111,,3-9336111,,,-17.401446044,-63.883595186
70404,San Juan,Plaza Alciviades Velarde colonia japonesa,3-9347105,,3-9347105,,,-17.291374746,-63.849336932
70501,San José,Calle Velazco esq. Linares frente plaza Felipe Suarez,3-9722084,,3-9722084,,,-17.845450579,-60.741215068
70502,Pailón,Plaza 13 de Mayo s/n,3-3882620 3882671,,3-3882620,,,-17.660111276,-62.717297836
70503,Roboré,"Calle Guillermo Sánchez Nº 1, Plaza Ángel Sandoval",3-9742276 9742188,,3-9742188,,,-18.33234845,-59.756885304
70601,Portachuelo,Plaza Principal de Portachuelo,3-9242124 9242055,,924-2055,,,-17.353105969,-63.394316415
70602,Santa Rosa del Sara,Plaza 30 de Agosto Calle Sara s/n,3-3231259 3237297,,3230400,,,-17.108944411,-63.598710294
70603,Colpa Bélgica,Av. Principal Colpa Belgica s/n,3-9236020-6195,,3-9236195,,,-17.567176218,-63.226500751
